stationid,Name,datetime,rrr24,tm_m
40718,anzali,1/1/1990 0:00,199.6,5.444
40718,anzali,2/1/1990 0:00,147.02,7.17273
40718,anzali,3/1/1990 0:00,99.8,9.18148
40718,anzali,4/1/1990 0:00,72.48,12.936
40718,anzali,5/1/1990 0:00,49.03,17.1621
40718,anzali,6/1/1990 0:00,1.42,22.9034
40718,anzali,7/1/1990 0:00,116.87,25.88
40718,anzali,8/1/1990 0:00,49.31,24.6621
40718,anzali,9/1/1990 0:00,59.03,23.34
40718,anzali,10/1/1990 0:00,426.76,18.0069
40718,anzali,11/1/1990 0:00,64.31,15.2517
40718,anzali,12/1/1990 0:00,307.72,9.55385
40718,anzali,1/1/1991 0:00,56.96,6.76538
40718,anzali,2/1/1991 0:00,127.19,5.44583
40718,anzali,3/1/1991 0:00,136.6,8.044
40718,anzali,4/1/1991 0:00,10.58,13.4385
40718,anzali,5/1/1991 0:00,55.25,17.3733
40718,anzali,6/1/1991 0:00,0.05,23.2724
40718,anzali,7/1/1991 0:00,60.73,26.3167
40718,anzali,8/1/1991 0:00,41.61,25.7774
40718,anzali,9/1/1991 0:00,196.38,22.2893
40718,anzali,10/1/1991 0:00,76.72,19.4935
40718,anzali,11/1/1991 0:00,305.53,13.3552
40718,anzali,12/1/1991 0:00,170.05,9.44815
40718,anzali,1/1/1992 0:00,212.11,5.41818
40718,anzali,2/1/1992 0:00,118.24,6.608
40718,anzali,3/1/1992 0:00,89.76,7.39286
40718,anzali,4/1/1992 0:00,140.9,12.3786
40718,anzali,5/1/1992 0:00,83.86,15.7071
40718,anzali,6/1/1992 0:00,31.44,23.2107
40718,anzali,7/1/1992 0:00,144.55,24.9233
40718,anzali,8/1/1992 0:00,143.74,23.6645
40718,anzali,9/1/1992 0:00,347.25,21.5793
40718,anzali,10/1/1992 0:00,196.05,18.03
40718,anzali,11/1/1992 0:00,103.84,13.556
40718,anzali,12/1/1992 0:00,173.4,9.53333
40718,anzali,1/1/1993 0:00,126.44,5.53929
40718,anzali,2/1/1993 0:00,77.03,4.42727
40718,anzali,3/1/1993 0:00,68.25,8.77407
40718,anzali,4/1/1993 0:00,39.48,12.4556
40718,anzali,5/1/1993 0:00,39.9,18.5741
40718,anzali,6/1/1993 0:00,58.99,22.0037
40718,anzali,7/1/1993 0:00,33.41,24.3929
40718,anzali,8/1/1993 0:00,92.88,25.3931
40718,anzali,9/1/1993 0:00,246.13,22.0552
40718,anzali,10/1/1993 0:00,432.73,16.9714
40718,anzali,11/1/1993 0:00,505.75,9.5
40718,anzali,12/1/1993 0:00,84.36,6.772
40718,anzali,1/1/1994 0:00,85.2,7.26818
40718,anzali,2/1/1994 0:00,159.57,4.59474
40718,anzali,3/1/1994 0:00,65.88,8.46552
40718,anzali,4/1/1994 0:00,26.52,13.7407
40718,anzali,5/1/1994 0:00,43.48,18.49
40718,anzali,6/1/1994 0:00,170.52,21.464
40718,anzali,7/1/1994 0:00,3.01,24.5367
40718,anzali,8/1/1994 0:00,23.84,25.1267
40718,anzali,9/1/1994 0:00,84.72,21.8241
40718,anzali,10/1/1994 0:00,360.86,18.175
40718,anzali,11/1/1994 0:00,377.01,13.8
40718,anzali,12/1/1994 0:00,159.38,7.49524
40718,anzali,1/1/1995 0:00,56.64,7.96957
40718,anzali,2/1/1995 0:00,70.98,7.91053
40718,anzali,3/1/1995 0:00,36.05,9.39091
40718,anzali,4/1/1995 0:00,28.47,14.4154
40718,anzali,5/1/1995 0:00,17.32,20.2643
40718,anzali,6/1/1995 0:00,28.45,23.6333
40718,anzali,7/1/1995 0:00,3.54,26.6138
40718,anzali,8/1/1995 0:00,77.33,26.2889
40718,anzali,9/1/1995 0:00,401.73,23.6731
40718,anzali,10/1/1995 0:00,323.65,17.4
40718,anzali,11/1/1995 0:00,13.85,15.7552
40718,anzali,12/1/1995 0:00,314.51,8.67857
40718,anzali,1/1/1996 0:00,215.75,6.92593
40718,anzali,2/1/1996 0:00,157.08,7.45
40718,anzali,3/1/1996 0:00,122.27,7.48636
40718,anzali,4/1/1996 0:00,81.42,11.328
40718,anzali,5/1/1996 0:00,21.68,19.9
40718,anzali,6/1/1996 0:00,22.79,22.3633
40718,anzali,7/1/1996 0:00,1.17,26.4333
40718,anzali,8/1/1996 0:00,22.22,26.2516
40718,anzali,9/1/1996 0:00,108.46,23.6172
40718,anzali,10/1/1996 0:00,388.76,18.3276
40718,anzali,11/1/1996 0:00,284.34,13.476
40718,anzali,12/1/1996 0:00,36.86,12.5846
40718,anzali,1/1/1997 0:00,175.17,8.9
40718,anzali,2/1/1997 0:00,78.4,6.412
40718,anzali,3/1/1997 0:00,115.43,8.4
40718,anzali,4/1/1997 0:00,46.64,14.5192
40718,anzali,5/1/1997 0:00,8.49,19.3968
40718,anzali,6/1/1997 0:00,68.89,24.331
40718,anzali,7/1/1997 0:00,133.21,25.7379
40718,anzali,8/1/1997 0:00,65.5,26.7222
40718,anzali,9/1/1997 0:00,742.94,20.55
40718,anzali,10/1/1997 0:00,118.52,20.4714
40718,anzali,11/1/1997 0:00,223.02,13.6792
40718,anzali,12/1/1997 0:00,205.12,10.092
40718,anzali,1/1/1998 0:00,207.16,6.65217
40718,anzali,2/1/1998 0:00,180.25,6.055
40718,anzali,3/1/1998 0:00,24.91,9.34286
40718,anzali,4/1/1998 0:00,15.77,15.7385
40718,anzali,5/1/1998 0:00,35.34,20.1419
40718,anzali,6/1/1998 0:00,24.54,26.2103
40718,anzali,7/1/1998 0:00,67.56,26.6536
40718,anzali,8/1/1998 0:00,62.26,27.2
40718,anzali,9/1/1998 0:00,512.56,22.7464
40718,anzali,10/1/1998 0:00,339.61,18.968
40718,anzali,11/1/1998 0:00,269.43,15.1519
40718,anzali,12/1/1998 0:00,182.09,11.4552
40718,anzali,1/1/1999 0:00,156.02,8.67308
